Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22
10,0.05,0.0502326059987124,0.0370318496103569,0.0162532947756273,0.00436890830808527,0.00107031282936329,0.000253015964379781,5.92561628722553e-05,1.40933509421384e-05,3.69659419202877e-06,1.32544500521023e-06,7.89115361803016e-07,6.68709721423914e-07,6.41864614136441e-07,6.35917122602184e-07,6.34607924376589e-07,6.34322265016844e-07,6.34262865025253e-07,6.34240468509571e-07,6.34237489479422e-07,6.34243630842835e-07,6.34243630842814e-07
11,0.05,0.0505777734483298,0.0385941756885628,0.0183194450473741,0.00507104553481842,0.00126476515578025,0.000302902225636369,7.15016052281936e-05,1.70949299176613e-05,4.42252383763078e-06,1.49896092375765e-06,8.30147596555019e-07,6.78317728199282e-07,6.44094099861621e-07,6.36430251140079e-07,6.34725087625245e-07,6.34347350957252e-07,6.34272598426976e-07,6.3424136161235e-07,6.34236624310441e-07,6.34243148958774e-07,6.34243148958753e-07
12,0.05,0.0508584088882958,0.0400856882567234,0.0204653638941071,0.00585893939098653,0.00148676225691987,0.000360351835108763,8.60641043646545e-05,2.06725361198842e-05,5.29012767997719e-06,1.70718516449107e-06,8.79653342709357e-07,6.89986210725208e-07,6.46822172281024e-07,6.37063035703856e-07,6.34871466158152e-07,6.34379066428497e-07,6.34283184990176e-07,6.34243210853394e-07,6.34235826921185e-07,6.34242647841855e-07,6.34242647841834e-07
13,0.05,0.0510886991250727,0.0415131420371829,0.0226382523252841,0.00675380396812143,0.00174237695895308,0.000427000759725552,0.000102846900788785,2.48383645894506e-05,6.31112989760791e-06,1.95470954762698e-06,9.39068983648607e-07,7.04116813277447e-07,6.50153788361729e-07,6.37842248569863e-07,6.35052246784629e-07,6.34420665386566e-07,6.34295654227331e-07,6.34245361210813e-07,6.34234738915662e-07,6.3424191074726e-07,6.34241910747239e-07
14,0.05,0.0512856184860414,0.0428902745174531,0.0247838132573635,0.00777681081998359,0.00203839086415002,0.000504640819520228,0.000122506708551396,2.97336171764537e-05,7.51736061001889e-06,2.24883495544398e-06,1.01008778994798e-06,7.21111324718156e-07,6.54187248628182e-07,6.38792351634163e-07,6.35274187273888e-07,6.34473877662815e-07,6.34298051329437e-07,6.34253323570037e-07,6.34238285139886e-07,6.34242104894532e-07,6.34242104894511e-07
15,0.05,0.0514673578232934,0.0442615758975794,0.0268971456697744,0.00894592749904449,0.00238121791076546,0.000595091820106001,0.000145506145362789,3.54775244878595e-05,8.93795999141715e-06,2.59686215913992e-06,1.0946071806831e-06,7.41468281463517e-07,6.59051929198762e-07,6.39946233093407e-07,6.35545780178306e-07,6.34538158445475e-07,6.34309453580584e-07,6.34259264254297e-07,6.34239813755206e-07,6.34241945186047e-07,6.34241945186027e-07
16,0.05,0.0517158540641754,0.0456223172039471,0.0289586352451089,0.0102650493883147,0.00277600210115558,0.000700191047714272,0.000172340080485122,4.22405820662203e-05,1.06150628370659e-05,3.00919378563255e-06,1.19516464517869e-06,7.6580223521972e-07,6.64896826998784e-07,6.4134021274721e-07,6.358759570309e-07,6.34616094833742e-07,6.34326805168998e-07,6.34265618484604e-07,6.34240586868759e-07,6.34241338223567e-07,6.34241338223546e-07
17,0.05,0.0528028738130206,0.0469146776943911,0.0307137206750119,0.011600711965585,0.0032026746231893,0.000817694014676401,0.000202951426064839,4.99771220153594e-05,1.25623757641281e-05,3.49333398867255e-06,1.31429270227102e-06,7.94848093668065e-07,6.71920488834918e-07,6.43025780661183e-07,6.36277584930637e-07,6.34711264597491e-07,6.34348602689047e-07,6.34273334385299e-07,6.34241437179258e-07,6.34240432900977e-07,6.34240432900956e-07
18,0.05,0.0547372335018911,0.0488247694437761,0.0326673876430903,0.0129589072162665,0.00364550480766219,0.000942291877322317,0.000236013663909772,5.9036247112122e-05,1.48382721838058e-05,4.05983704950124e-06,1.45419374149423e-06,8.29149123119626e-07,6.80271203462022e-07,6.45044580926631e-07,6.36762226149223e-07,6.34826941793208e-07,6.3437537627972e-07,6.34282503131313e-07,6.34242722407591e-07,6.34239342254352e-07,6.34239342254331e-07
19,0.05,0.054638811185962,0.0502154097189622,0.0348914006383773,0.0148348203678992,0.00423528447427477,0.00110200301874696,0.000277907201697442,6.54084321520147e-05,1.6652495480293e-05,4.56828053679378e-06,1.59206775120401e-06,8.65290898209008e-07,6.89482129714995e-07,6.47341080054082e-07,6.3732526583321e-07,6.34963420256151e-07,6.34407451884218e-07,6.34293267597401e-07,6.3424459179995e-07,6.34238130694291e-07,6.3423813069427e-07
20,0.05,0.0539827824032851,0.0511583363690993,0.0367452850758675,0.0167289467411433,0.00487388125235492,0.00128176641405605,0.000324405565069858,8.11192204533655e-05,2.04234643294614e-05,5.4640352648562e-06,1.80431727814442e-06,9.15604281780886e-07,7.01428799189631e-07,6.50184700012906e-07,6.38003713656183e-07,6.35125535779335e-07,6.34446425460131e-07,6.34299189567682e-07,6.34249756585368e-07,6.34238920158695e-07,6.34238920158674e-07
21,0.05,0.0531865478706994,0.0519920576897081,0.0384882275259729,0.0186982018656831,0.00557500028108059,0.00148281830057011,0.000377805294668756,9.49491421485256e-05,2.39522996086508e-05,6.35385221159774e-06,2.0270609302165e-06,9.71114885573972e-07,7.15202345443772e-07,6.53582094157696e-07,6.38835483009591e-07,6.3532717237506e-07,6.34496489251872e-07,6.3430339611691e-07,6.34256180514836e-07,6.34241317473548e-07,6.34241317473527e-07
22,0.05,0.0523401214310121,0.0527414953560472,0.0401524252787167,0.0207440414465814,0.00635831328105388,0.00171100474376975,0.00043885053814155,0.000110818301470434,2.80214644014575e-05,7.3874264873897e-06,2.28760923620607e-06,1.03632273137125e-06,7.31400041409858e-07,6.57574945836335e-07,6.39812572807694e-07,6.35564619493888e-07,6.34554192051844e-07,6.34315538420248e-07,6.34261485458329e-07,6.3424163167126e-07,6.34241631671239e-07
23,0.05,0.0514910888411134,0.0534354207447494,0.0417525451456635,0.0228261786129687,0.00723854807714191,0.00197108865170261,0.000508854354035864,0.000129083978254768,3.27232116443518e-05,8.58653385697169e-06,2.59097937835554e-06,1.11248941784721e-06,7.50385048660867e-07,6.62275326481841e-07,6.40969039507663e-07,6.35847420033628e-07,6.34623077688138e-07,6.34331607684904e-07,6.34267371218509e-07,6.34241504671642e-07,6.34241504671621e-07
24,0.05,0.0510525290589325,0.0540630531244373,0.0431727844655756,0.024812654153867,0.00821391611067496,0.00226630979324504,0.000589156885898864,0.00015014646669893,3.81643730011115e-05,9.97867331916233e-06,2.94438078665162e-06,1.20156058507457e-06,7.72681966715949e-07,6.67820130795614e-07,6.42339071839592e-07,6.36183792773943e-07,6.34705259146323e-07,6.34351018939676e-07,6.34274385967329e-07,6.34241331058062e-07,6.34241331058041e-07
25,0.05,0.0510199606996944,0.0549514944832958,0.0446724811188697,0.026745272588833,0.00927231445877618,0.00259312366105093,0.000679157142656655,0.000173969040856091,4.43679012846232e-05,1.15778417621329e-05,3.35299453156115e-06,1.30516137367229e-06,7.98757140067874e-07,6.74337332460973e-07,6.43957170046979e-07,6.3658295686195e-07,6.34803235803378e-07,6.34374347699705e-07,6.34282558713926e-07,6.34241266222983e-07,6.34241266222962e-07
26,0.05,0.0510025580584648,0.0560061215748052,0.0461792759268465,0.028644687685453,0.0104451262268612,0.00296331692862532,0.000781991693343138,0.000201284970172522,5.14970177993659e-05,1.34275556154718e-05,3.82626285074841e-06,1.42543929485079e-06,8.29122803417435e-07,6.81954195535713e-07,6.45855821735928e-07,6.37053327458153e-07,6.34919211339802e-07,6.3440213073498e-07,6.3429206758701e-07,6.34241357039674e-07,6.34241357039653e-07
27,0.05,0.0509835850569937,0.0574424437952006,0.0477036815317916,0.0304304279507941,0.0116780577009943,0.00336810921048764,0.000896716061188148,0.000232117056390831,5.96008015157193e-05,1.56005377218345e-05,4.38039518066671e-06,1.56621918766406e-06,8.64706239446999e-07,6.90899210849377e-07,6.48091793002363e-07,6.37609055913365e-07,6.35056624826182e-07,6.34435774460232e-07,6.34299252392503e-07,6.3424425946549e-07,6.3424425946547e-07
28,0.05,0.0509622750790958,0.0594399584413849,0.0493411774806757,0.0321328365933008,0.0129409763376857,0.00380172396762108,0.00102252108424131,0.000266430037113043,6.8676547900559e-05,1.81143505613375e-05,5.05070388499689e-06,1.73665362564345e-06,9.07476835268868e-07,7.01585656630868e-07,6.5075401590439e-07,6.38270101772617e-07,6.35219850471104e-07,6.34477360429859e-07,6.34301681919785e-07,6.34250894127898e-07,6.34250894127877e-07
