Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22
23,0.05,0.0397169438547999,0.00330266531214033,6.68055733916548e-05,9.55674909896992e-07,3.23384284424687e-08,2.05667842465972e-08,1.96426363909961e-08,1.94206023277982e-08,1.93647349122422e-08,1.93507481651431e-08,1.93478988726471e-08,1.93475385694805e-08,1.93478349448839e-08,1.93483127491131e-08,1.93488503312958e-08,1.93494157669086e-08,1.93499992632708e-08,1.93505966090482e-08,1.93512050288424e-08,1.93518309002089e-08,2.23400088161149e-07
24,0.05,0.0402395925796083,0.00380471036119977,7.93734063200031e-05,1.17807453817456e-06,3.53321541551359e-08,2.07598633117747e-08,1.96896903617842e-08,1.94328918554235e-08,1.93679845706088e-08,1.93514997005182e-08,1.93480942406318e-08,1.93475870510747e-08,1.93478454593824e-08,1.93483138920788e-08,1.93488493185508e-08,1.93494144012013e-08,1.93499979933616e-08,1.93505955464904e-08,1.93512042012898e-08,1.93518305348022e-08,2.2340008779691e-07
25,0.05,0.0407439378356896,0.00440019979531293,9.46316828715815e-05,1.45286885847096e-06,3.90466229798479e-08,2.09775252280015e-08,1.97424622597886e-08,1.94467993141062e-08,1.93716802099165e-08,1.93523685814446e-08,1.93483203419935e-08,1.93476442544872e-08,1.93478585404735e-08,1.93483159395793e-08,1.9348848741492e-08,1.93494133115832e-08,1.93499969193356e-08,1.93505946197804e-08,1.93512034547715e-08,1.93518301962684e-08,2.23400087457917e-07
26,0.05,0.0412235136041877,0.00509956908619224,0.000112991587701078,1.79108341242974e-06,4.36908623260477e-08,2.12284167676682e-08,1.98027836866932e-08,1.94627474599005e-08,1.93759208223402e-08,1.93533791183057e-08,1.93485817245609e-08,1.93477115005769e-08,1.93478746609388e-08,1.9348319131135e-08,1.93488487617247e-08,1.93494126204439e-08,1.93499961341942e-08,1.93505938950224e-08,1.93512028291594e-08,1.93518298980207e-08,2.23400087160364e-07
27,0.05,0.0416807457039418,0.00593380706063146,0.000135372130544235,2.208007454086e-06,4.94572238726551e-08,2.15096445745508e-08,1.98701047296101e-08,1.94807416041417e-08,1.93807387185389e-08,1.93545434145813e-08,1.93488808235114e-08,1.93477886317774e-08,1.93478928570996e-08,1.9348322392944e-08,1.93488484067766e-08,1.93494115152851e-08,1.93499950011731e-08,1.93505929158799e-08,1.93512020463554e-08,1.93518295492177e-08,2.23400086836119e-07
28,0.05,0.0421179610410845,0.00694039986895517,0.00016313211604964,2.72911038175432e-06,5.66700988893952e-08,2.18211911673467e-08,1.99439974174963e-08,1.9500760828307e-08,1.93861528403711e-08,1.93558697423823e-08,1.93492206714116e-08,1.93478769802284e-08,1.93479136871912e-08,1.93483260136048e-08,1.93488478658149e-08,1.93494101362665e-08,1.9349993625486e-08,1.93505917572077e-08,1.93512011505898e-08,1.93518291645808e-08,2.23400086404961e-07
29,0.05,0.042536460302385,0.00812865051483769,0.000197238020903314,3.38484418588794e-06,6.58707639042669e-08,2.21768113188937e-08,2.00262572987656e-08,1.95231565535151e-08,1.93921943509123e-08,1.93574235469405e-08,1.93496083310855e-08,1.93479796241943e-08,1.93479392805111e-08,1.93483316457951e-08,1.93488484845509e-08,1.93494095711398e-08,1.93499928509394e-08,1.93505910207536e-08,1.93512005109098e-08,1.93518288630913e-08,2.23400086123968e-07
30,0.05,0.0429367984866528,0.00948533416667261,0.000237815466225851,4.19477882031702e-06,7.76251495761881e-08,2.25961942766578e-08,2.0120386042627e-08,1.95487185720099e-08,1.93988730925272e-08,1.93594076233097e-08,1.9350056958634e-08,1.93480984590869e-08,1.9347970388716e-08,1.93483396356815e-08,1.93488504781811e-08,1.93494099774959e-08,1.93499927958153e-08,1.93505907906571e-08,1.93512001759804e-08,1.93518286626905e-08,2.23400085923167e-07
31,0.05,0.0433197913089926,0.011015209343773,0.00028519928902136,5.17585512764361e-06,9.2453454486951e-08,2.30895415370883e-08,2.02281486803707e-08,1.95779801750238e-08,1.94064732523701e-08,1.93617289691999e-08,1.93505715815744e-08,1.9348234900924e-08,1.93480064835594e-08,1.93483490949845e-08,1.93488529885205e-08,1.93494106264853e-08,1.93499928862357e-08,1.93505906549057e-08,1.93511998961301e-08,1.93518284804623e-08,2.23400085741005e-07
32,0.05,0.0436865675161129,0.0127376988295988,0.000340144762506183,6.35225829885884e-06,1.10993615612532e-07,2.36670159894125e-08,2.03507895075287e-08,1.96113434832804e-08,1.94153215785751e-08,1.93642229884115e-08,1.93511541589525e-08,1.93483913654081e-08,1.93480477995833e-08,1.93483597909187e-08,1.93488557091734e-08,1.93494112392325e-08,1.93499928981042e-08,1.93505904514914e-08,1.93511995732689e-08,1.93518282835358e-08,2.23400085544741e-07
