0.1,0.0007479763,0.0000301934
0.2,0.0014893489,0.0000363362
0.4,0.0030044521,0.0000730747
0.6,0.0043896831,0.0001079849
0.8,0.0059994390,0.0001753407
1,0.0073943553,0.0001228618
5,0.0371144158,0.0004308847
10,0.0734964840,0.0013430172
30,0.2136852452,0.0045862287
60,0.3998250202,0.0047825983
90,0.5709597042,0.0104086265
100,0.6223666744,0.0037401284
200,1.0838746439,0.0095117983
300,1.4146553780,0.0086429876
400,1.6393084473,0.0126616290
500,1.8105239162,0.0127820335
600,1.9397585010,0.0127648227
700,2.0594952397,0.0079128812
800,2.1342470824,0.0048590835
900,2.2060371768,0.0123059410
1000,2.2686530052,0.0088091935
2000,2.5952531726,0.0035702421
3000,2.7329712788,0.0185810375
4000,2.8310849433,0.0220661540
5000,2.9050100059,0.0150053364
6000,2.9580060405,0.0282828032
7000,3.0243155247,0.0217112059
8000,3.0692000449,0.0264136451
9000,3.1171843302,0.0234292175
10000,3.1767921846,0.0302624219
20000,3.6155625997,0.0162720549
30000,3.9573441762,0.0553318507
40000,4.2792579353,0.0352169348
50000,4.4945861750,0.0504423114
60000,4.6076010327,0.0909860239
70000,4.7959169388,0.0462747586
80000,4.8027332524,0.0858033488
90000,4.9126291943,0.0563789416
100000,4.9897982023,0.0804964091
200000,5.2813973500,0.0280891776
400000,5.4663561677,0.0310813707
500000,5.5004172642,0.0238956469
600000,5.5248394162,0.0173045530
700000,5.5516188602,0.0083591736
800000,5.5415621232,0.0263235370
900000,5.5524317726,0.0105860732
1000000,5.5686935430,0.0203758583
