0.1,0.0000556910,0.0000048885
0.2,0.0001155643,0.0000138335
0.4,0.0002238646,0.0000176733
0.6,0.0003182971,0.0000296600
0.8,0.0004312200,0.0000276061
1,0.0005377593,0.0000304091
5,0.0026597403,0.0000567628
10,0.0053329080,0.0000684114
30,0.0160229375,0.0004622432
60,0.0318724184,0.0005416656
90,0.0475779392,0.0008497150
100,0.0527420133,0.0010197495
200,0.1047926217,0.0019067858
300,0.1550996398,0.0022631927
400,0.2034596743,0.0049342466
500,0.2516383278,0.0031176638
600,0.2965979098,0.0054848562
700,0.3470629758,0.0048592848
800,0.3868989863,0.0026011150
900,0.4274587596,0.0031097403
1000,0.4653284157,0.0040687828
2000,0.8254158202,0.0072003502
3000,1.1274683658,0.0050372117
4000,1.3429608168,0.0090755166
5000,1.5205763476,0.0116212559
6000,1.6668686658,0.0056310428
7000,1.7901223018,0.0109483816
8000,1.8826600432,0.0116958587
9000,1.9703841455,0.0078589433
10000,2.0409741319,0.0082435046
20000,2.4239659437,0.0066911028
30000,2.5831677865,0.0046844015
40000,2.6895640007,0.0058419696
50000,2.7558376049,0.0096496737
60000,2.8254605931,0.0090844660
70000,2.8614501829,0.0185627169
80000,2.9086180339,0.0106478945
90000,2.9406592863,0.0164849339
100000,2.9803255823,0.0097740818
200000,3.2769886484,0.0071735823
400000,3.7552635694,0.0635682325
500000,3.9633766335,0.0610907199
600000,4.1194454727,0.0322741516
700000,4.2442776072,0.0634824280
800000,4.3828654175,0.0629580146
900000,4.4968052300,0.0553131369
1000000,4.5808279723,0.0934472086
