0.1,0.0001932676,0.0000100221
0.2,0.0003576991,0.0000259790
0.4,0.0007103353,0.0000157162
0.6,0.0010867448,0.0000293468
0.8,0.0014371799,0.0000382999
1,0.0017847533,0.0000529070
5,0.0090226015,0.0001884959
10,0.0178224390,0.0002628223
30,0.0531714723,0.0003978154
60,0.1044305202,0.0015994076
90,0.1548297696,0.0024738930
100,0.1722828430,0.0017510829
200,0.3300232925,0.0062718609
300,0.4679445717,0.0066233895
400,0.6035789983,0.0135379823
500,0.7225855907,0.0043615788
600,0.8438099173,0.0104259489
700,0.9435850666,0.0018402065
800,1.0423606396,0.0096795181
900,1.1362369459,0.0085982361
1000,1.2203690891,0.0089486921
2000,1.7616102736,0.0121820792
3000,2.0563805062,0.0155930431
4000,2.2335245347,0.0095868688
5000,2.3435404434,0.0074064247
6000,2.4385153811,0.0044690315
7000,2.4996334960,0.0049375351
8000,2.5511696782,0.0067958809
9000,2.5982413356,0.0073030654
10000,2.6395446828,0.0051477584
20000,2.8533939193,0.0138486834
30000,3.0013424391,0.0149024982
40000,3.1142069532,0.0252403360
50000,3.2099639862,0.0111793637
60000,3.3368846431,0.0247672375
70000,3.4156074959,0.0186500703
80000,3.5156952191,0.0278758675
90000,3.5955001941,0.0809061386
100000,3.7063279146,0.0917506028
200000,4.2685271832,0.0696438016
400000,4.8875449138,0.0396799639
500000,5.0242081929,0.0629082950
600000,5.1229401816,0.0554203621
700000,5.2178515039,0.0268080789
800000,5.2578460026,0.0295768963
900000,5.2761293781,0.0489453745
1000000,5.3150939236,0.0231423526
