0.0007479763,-38.64264,0.149059
0.0014893489,-38.65875,0.077233
0.0030044521,-38.65346,0.071836
0.0043896831,-38.67430,0.048685
0.0059994390,-38.64083,0.071017
0.0073943553,-38.64054,0.042201
0.0371144158,-38.64946,0.025154
0.0734964840,-38.66660,0.034952
0.2136852452,-38.71641,0.048438
0.3998250202,-38.70640,0.141407
0.5709597042,-38.87392,0.085707
0.6223666744,-38.84998,0.117320
1.0838746439,-39.05107,0.063683
1.4146553780,-39.03053,0.078932
1.6393084473,-39.18331,0.175193
1.8105239162,-39.28817,0.185329
1.9397585010,-39.37016,0.238838
2.0594952397,-39.48157,0.208255
2.1342470824,-39.45511,0.127436
2.2060371768,-39.33969,0.348870
2.2686530052,-39.39413,0.115892
2.5952531726,-39.84348,0.354650
2.7329712788,-40.11250,0.298199
2.8310849433,-40.54905,0.796916
2.9050100059,-40.63127,0.607067
2.9580060405,-40.67753,0.610992
3.0243155247,-40.93028,0.386169
3.0692000449,-41.39659,0.660113
3.1171843302,-41.28276,0.702158
3.1767921846,-41.24538,0.396655
3.6155625997,-42.10147,0.491990
3.9573441762,-41.70185,0.974547
4.2792579353,-42.07112,1.030307
4.4945861750,-41.91515,0.971990
4.6076010327,-42.39358,1.426661
4.7959169388,-42.73732,1.492678
4.8027332524,-41.97313,1.743993
4.9126291943,-41.56764,1.111986
4.9897982023,-42.67966,1.658558
5.2813973500,-42.54408,2.170069
5.4663561677,-40.67321,2.837781
5.5004172642,-44.69947,3.327400
5.5248394162,-43.48944,8.010487
5.5516188602,-40.45354,4.305429
5.5415621232,-41.39997,6.972518
5.5524317726,-42.28714,5.107193
5.5686935430,-41.26362,5.823903
