Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22
37,0.05,0.0453038811573443,0.0236354388884902,0.000811449400500788,1.72530226303182e-05,3.1270949037659e-07,3.21610256342298e-08,2.23065196792381e-08,2.01018109527805e-08,1.95960099366982e-08,1.94089699373987e-08,1.93199452554104e-08,1.93833426633852e-08,1.93487338914793e-08,1.93481534988588e-08,1.93488590564738e-08,1.93494190650176e-08,1.93499978260085e-08,1.93505932068838e-08,1.93512002372869e-08,1.93518278587447e-08,1.94566863474587e-07
38,0.05,0.0455712186494985,0.0252590992639796,0.000967319213377967,2.10055541936777e-05,3.84457355198581e-07,3.4270539811513e-08,2.27231785375256e-08,2.02168998246842e-08,1.96270110175478e-08,1.94172178762165e-08,1.93221868220632e-08,1.93858161298847e-08,1.93488028749126e-08,1.93481378935451e-08,1.93488620754999e-08,1.93494204995121e-08,1.93499983646412e-08,1.93505933590339e-08,1.93512001251325e-08,1.93518277319325e-08,1.94566863350358e-07
39,0.05,0.045819884840596,0.0266192153544333,0.001142850091593,2.53654005774453e-05,4.70632716686562e-07,3.67202579448767e-08,2.31910662667132e-08,2.03473989885718e-08,1.966234088876e-08,1.94266375649674e-08,1.93247471743515e-08,1.93863700211881e-08,1.93488485492341e-08,1.93481343770859e-08,1.93488651694751e-08,1.93494216365808e-08,1.93499986241783e-08,1.93505932963878e-08,1.93511998805032e-08,1.93518275603213e-08,1.94566863179571e-07
40,0.05,0.0460526275983367,0.027814670383767,0.00133846224698093,3.03813717006481e-05,5.73195127811922e-07,3.95550663348161e-08,2.37136305066388e-08,2.04947142675893e-08,1.97024537206425e-08,1.94373621839357e-08,1.93276652808401e-08,1.93870264435696e-08,1.93488950748284e-08,1.93481303374136e-08,1.93488682917487e-08,1.93494226151385e-08,1.93499986888154e-08,1.93505930766923e-08,1.93511995377014e-08,1.9351827355376e-08,1.94566862978131e-07
41,0.05,0.0462714045591477,0.0289014292765773,0.00155639660047471,3.61383079629726e-05,6.94709374762617e-07,4.28279978525309e-08,2.42950067037057e-08,2.06605111310649e-08,1.9747889019327e-08,1.94495492308958e-08,1.9330986926283e-08,1.93877215934481e-08,1.93489419281623e-08,1.93481261950859e-08,1.93488716126759e-08,1.93494235600045e-08,1.93499986474077e-08,1.93505927610947e-08,1.93511991330889e-08,1.93518271292395e-08,1.94566862759608e-07
42,0.05,0.0464774520768019,0.0299062370364911,0.00180328585686243,4.28148997685353e-05,8.3870059922368e-07,4.6571583846082e-08,2.49357255295103e-08,2.08460378634334e-08,1.97991648787544e-08,1.9463361554296e-08,1.9334992237766e-08,1.93886120382334e-08,1.93489911784147e-08,1.93481206236486e-08,1.93488750844634e-08,1.93494244436367e-08,1.93499984676394e-08,1.93505923236905e-08,1.93511986504601e-08,1.93518268764151e-08,1.9456686251007e-07
43,0.05,0.0466713840817594,0.0308304579691668,0.00211191312985235,5.11720349826979e-05,1.01304495338485e-06,5.05369864163273e-08,2.55760811316575e-08,2.10417745259208e-08,1.98550821197118e-08,1.94787161045538e-08,1.93389519313064e-08,1.93896027675268e-08,1.93490387920464e-08,1.93481112471336e-08,1.93488764413836e-08,1.93494233989466e-08,1.93499966838752e-08,1.93505907115947e-08,1.93511974541167e-08,1.93518263834883e-08,1.94566862018262e-07
44,0.05,0.0468554708884914,0.031755996866015,0.00246519071986644,6.11314899610997e-05,1.22829770777492e-06,5.52630324046816e-08,2.62563869582288e-08,2.12492347687802e-08,1.99149555392819e-08,1.94953557013365e-08,1.93435534658515e-08,1.93907121523896e-08,1.93490891401698e-08,1.93481018847217e-08,1.93488790760427e-08,1.93494232293402e-08,1.93499954748988e-08,1.93505894817425e-08,1.93511964819843e-08,1.93518259650164e-08,1.94566861599478e-07
45,0.05,0.0470297014449314,0.0326475868040989,0.0028594745137959,7.26450728419153e-05,1.48718559355476e-06,6.10774674931018e-08,2.7069391626623e-08,2.14935484448304e-08,1.99845683304698e-08,1.95144899001667e-08,1.93487771139913e-08,1.93920280572911e-08,1.93491456389395e-08,1.93480935921376e-08,1.93488845013062e-08,1.93494251880016e-08,1.93499958152875e-08,1.93505893308975e-08,1.93511961543233e-08,1.93518257621189e-08,1.94566861398499e-07
46,0.05,0.0471943323025701,0.0334988462910395,0.00329800454601273,8.58342761264498e-05,1.79348019259561e-06,6.79691502038191e-08,2.79963404309082e-08,2.17726486820482e-08,2.00641366631725e-08,1.95363342678239e-08,1.93546457938917e-08,1.93936223280594e-08,1.93492067601896e-08,1.93480831378723e-08,1.93488906437195e-08,1.93494275922546e-08,1.93499963627262e-08,1.93505892908481e-08,1.93511958856876e-08,1.93518255782587e-08,1.94566861215101e-07
