Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22
14,0.05,0.0512985197913702,0.0429087255010639,0.024803541281247,0.00778620074707584,0.00204111006644834,0.00050535012042472,0.000122687083288715,2.97807527580791e-05,7.52825707622676e-06,2.25132048049056e-06,1.01066426146594e-06,7.21246846104326e-07,6.54219165458611e-07,6.3879986775993e-07,6.35275922255468e-07,6.34474362093203e-07,6.34298212375469e-07,6.34253350984267e-07,6.34238618756054e-07,6.34238207693506e-07,6.34238207693501e-07
15,0.05,0.0514823497743878,0.0442792521176472,0.0269157378167917,0.00895631339729481,0.00238432700563737,0.000595915477607157,0.00014571233825296,3.55392874346704e-05,8.95252633298306e-06,2.60024071504405e-06,1.09539034019148e-06,7.41649322344644e-07,6.5909356062411e-07,6.39955809153307e-07,6.35547936848031e-07,6.3453884936205e-07,6.3430935276891e-07,6.34259319445307e-07,6.34240231961368e-07,6.34238200358782e-07,6.34238200358777e-07
16,0.05,0.0517428862724787,0.0456409497501714,0.0289750117022292,0.0102756166640646,0.00277936313674037,0.000701107216737174,0.00017257831625295,4.22841861620719e-05,1.06275797380169e-05,3.01246162435093e-06,1.19598577266926e-06,7.66003018687409e-07,6.64944946486252e-07,6.41351630454856e-07,6.35878606068724e-07,6.346168572021e-07,6.34326933941216e-07,6.34265656095836e-07,6.34240863827294e-07,6.34237661641911e-07,6.34237661641906e-07
17,0.05,0.0529034813254512,0.0469433846005091,0.0307172811290338,0.0116033434206097,0.00320479317495698,0.000818460456485339,0.000203175871287804,5.00741045283971e-05,1.25825416361388e-05,3.49767334907121e-06,1.31526684196065e-06,7.95074073194789e-07,6.71973909828498e-07,6.43038554096278e-07,6.36280601269997e-07,6.34712124300898e-07,6.34348788911705e-07,6.3427336464615e-07,6.34241636142809e-07,6.34236859948511e-07,6.34236859948506e-07
18,0.05,0.0548009398884424,0.0488781825240026,0.0327070783129221,0.0129765349686085,0.00365005955496748,0.0009433632237413,0.000236348372444762,5.86795716429368e-05,1.47807635692645e-05,4.05202182971798e-06,1.45346149371545e-06,8.29166591144155e-07,6.80304943079151e-07,6.45056812732377e-07,6.36765632165571e-07,6.34827953992082e-07,6.3437561073321e-07,6.3428254822082e-07,6.34242879426685e-07,6.34235864200406e-07,6.34235864200401e-07
19,0.05,0.0546596624969796,0.0502447166672343,0.034921342051781,0.0148563241052898,0.00424180022424768,0.0011038402303821,0.000277597641087885,6.9104907396255e-05,1.73948359631154e-05,4.70350341518999e-06,1.61486079014568e-06,8.68906756738563e-07,6.90028125883728e-07,6.47420614755678e-07,6.37336654995733e-07,6.34965242421468e-07,6.34407749210601e-07,6.34293310685617e-07,6.34244717660961e-07,6.34234732463803e-07,6.34234732463798e-07
20,0.05,0.0539954183666167,0.0511825531832242,0.0367708240022393,0.0167491477343808,0.00488043049290042,0.00128354822025207,0.000324840867879044,8.12316024074217e-05,2.0469487072792e-05,5.47594590309177e-06,1.80734828340809e-06,9.16509182307334e-07,7.01715429956432e-07,6.50270401556195e-07,6.38026987337679e-07,6.35131451735614e-07,6.34447845434829e-07,6.3429906347221e-07,6.34250117606111e-07,6.34235713731869e-07,6.34235713731865e-07
21,0.05,0.0531940739449182,0.0520151545928445,0.0385141568122931,0.0187209004850063,0.00558270751201726,0.00148492879585919,0.00037832252029512,9.506547910284e-05,2.40016438805239e-05,6.36936890142436e-06,2.03147105635737e-06,9.72298721275364e-07,7.15500815056932e-07,6.53652817131537e-07,6.38851388978808e-07,6.35330804732232e-07,6.34497258995439e-07,6.34303627352678e-07,6.34256375133039e-07,6.34237974152596e-07,6.34237974152591e-07
22,0.05,0.0523442337780799,0.0527638399009643,0.0401781899170361,0.020767880675039,0.00636712030866014,0.0017134669203312,0.000439463369531832,0.000110958655939847,2.80778598322372e-05,7.40508688356236e-06,2.29250221148204e-06,1.0375868030227e-06,7.31712122237137e-07,6.5765022456854e-07,6.39830531307859e-07,6.35569032643267e-07,6.34555261724175e-07,6.34315637210887e-07,6.34261694922239e-07,6.34238459604084e-07,6.34238459604079e-07
23,0.05,0.0514916527779533,0.053457302924303,0.0417782713022671,0.0228512432744537,0.00724876330839783,0.00197397984389377,0.000509581131951216,0.000129253290914529,3.27864339863315e-05,8.60594664653317e-06,2.59636609227489e-06,1.11390968003314e-06,7.5074693635771e-07,6.62365162115518e-07,6.4099077370743e-07,6.35852709833382e-07,6.34624325737274e-07,6.34331798202699e-07,6.34267577212062e-07,6.34238366050464e-07,6.34238366050459e-07
24,0.05,0.0510569922074027,0.0540861770186357,0.0431977464734709,0.0248364661920528,0.0082249271809482,0.00226955534818648,0.00058999739289695,0.000150347464298913,3.82357443971361e-05,1.00003852673369e-05,2.95042329933715e-06,1.20316352556685e-06,7.73092758436839e-07,6.67922727634196e-07,6.42364129255252e-07,6.36189955282158e-07,6.34706740388423e-07,6.34351275544542e-07,6.34274614800795e-07,6.34238237006588e-07,6.34238237006583e-07
25,0.05,0.0510240471332811,0.0549774742188494,0.0446981541170138,0.026769554821275,0.00928482494466077,0.00259686267146546,0.000680133489684265,0.000174205249071125,4.44481379009495e-05,1.1601617942872e-05,3.35966686760849e-06,1.30694898940958e-06,7.99220390731311e-07,6.7445439461072e-07,6.43986108262809e-07,6.36590134556447e-07,6.34804981181995e-07,6.34374664908056e-07,6.34282826151459e-07,6.34238216272747e-07,6.34238216272742e-07
26,0.05,0.0510066138642904,0.0560382654046471,0.0462053657070863,0.02866766390661,0.0104583278715046,0.0029674587302051,0.000783102662889243,0.000201558791106897,5.15882588549099e-05,1.34465367898217e-05,3.83253146537057e-06,1.42725907365942e-06,8.2961796435405e-07,6.82083471191534e-07,6.45888545440216e-07,6.37061571153607e-07,6.34921244711499e-07,6.34402519203035e-07,6.3429235847359e-07,6.34238361529324e-07,6.34238361529319e-07
27,0.05,0.0509874419544481,0.0574869496608642,0.0477321099649379,0.0304520402657745,0.0116913613233341,0.00337251281211327,0.000897932928829704,0.000232422327787872,5.97118677942691e-05,1.55595956474648e-05,4.37722540649324e-06,1.56655790465597e-06,8.64981366725661e-07,6.90999127507385e-07,6.48121551013398e-07,6.37617303471539e-07,6.35058768611024e-07,6.34436320521932e-07,6.34298944260773e-07,6.342417010965e-07,6.34241701096495e-07
28,0.05,0.050965811812614,0.0594971120546513,0.0493733227374729,0.0321540175375639,0.0129541314533144,0.0038063442673782,0.00102384303507499,0.000266759140626942,6.88471306658994e-05,1.79565520180035e-05,4.99969333374985e-06,1.72678524679322e-06,9.05896549399035e-07,7.01370063242466e-07,6.50732124087206e-07,6.38270175458972e-07,6.35220766535028e-07,6.34477665142589e-07,6.34301955994838e-07,6.34247954415259e-07,6.34247954415254e-07
29,0.05,0.0509414320879768,0.0616755035836948,0.0511416470212129,0.0339315621908648,0.0143164716170728,0.00428409298716107,0.00116383895293757,0.000305165743078548,7.9121370160876e-05,2.06674798643735e-05,5.70768862553856e-06,1.91004987506833e-06,9.52950163031341e-07,7.13359973162982e-07,6.53765644541414e-07,6.39032543416202e-07,6.35411077851018e-07,6.34525201278403e-07,6.34312048642616e-07,6.34251472442307e-07,6.34251472442302e-07
30,0.05,0.050914050710535,0.0634600915296976,0.0528598445587152,0.0358102680116973,0.0158543474557546,0.00482946173722559,0.00132383970492214,0.000348993403328352,9.08372684472016e-05,2.37607795954091e-05,6.51700843290234e-06,2.12010182814729e-06,1.00705762292601e-06,7.271978244897e-07,6.57280453943965e-07,6.39919476788067e-07,6.35633494989647e-07,6.34580646949027e-07,6.34325744074081e-07,6.34254558307164e-07,6.34254558307159e-07
31,0.05,0.050884315248799,0.0647147200746883,0.0544090344621795,0.0376984436945965,0.0175544974769482,0.00544861379229678,0.00150677380816586,0.000399160445515479,0.000104251867284045,2.73053759413058e-05,7.44577293938165e-06,2.36165710438803e-06,1.06943984213959e-06,7.43198804279404e-07,6.61357777622264e-07,6.40951879936715e-07,6.35893335845993e-07,6.34645617666608e-07,6.34342059698904e-07,6.34258072833463e-07,6.34258072833458e-07
