Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N40,N41,N42
10,0.15,0.0694037791814163,0.00161274745782419,2.45596272921116e-05,3.70490480075887e-07,2.12806718042928e-08,1.64218593729131e-08,1.63525130850249e-08,1.63440708136129e-08,1.63358172688241e-08,1.63230135258702e-08,1.63044855162195e-08,1.62781521014056e-08,1.62420860216342e-08,1.61952414593134e-08,1.61377114189724e-08,1.60701464905314e-08,1.59929793000093e-08,1.59061245883885e-08,1.58089807256009e-08,1.57009675166678e-08,1.55808801865829e-08,1.54476484125062e-08,1.53000812452699e-08,1.51368818811741e-08,1.49566726639808e-08,1.47579969009904e-08,1.45392953474777e-08,1.42983811100725e-08,1.40273311202368e-08,1.36896443794395e-08,1.32328151369211e-08,1.28010306550329e-08,1.26470714532445e-08,1.26066039620901e-08,1.25969161953853e-08,1.25950598325184e-08,1.25951522148396e-08,1.25957332414283e-08,1.25964369229003e-08,1.25971752605129e-08,0
11,0.15,0.082928240782636,0.00213784080564247,3.34942115270103e-05,5.12453648775804e-07,2.3527646939752e-08,1.65264488260349e-08,1.64279667706089e-08,1.64209569820246e-08,1.64165282376257e-08,1.64081172132712e-08,1.63952526932723e-08,1.63762453530222e-08,1.63494577911658e-08,1.63139407267044e-08,1.62697037471255e-08,1.62172720828134e-08,1.61570194687898e-08,1.60888900589236e-08,1.60124514765368e-08,1.59270238287296e-08,1.58317234141582e-08,1.5725716106688e-08,1.5607932886476e-08,1.54771785910882e-08,1.53322931505056e-08,1.51719952557664e-08,1.49949204215667e-08,1.47996237249658e-08,1.45845719821454e-08,1.43478231185258e-08,1.40835558329959e-08,1.37629621672707e-08,1.33283443877514e-08,1.28611947426875e-08,1.26644820847273e-08,1.26122111794682e-08,1.25994153153209e-08,1.25968014788269e-08,1.25967054069685e-08,1.25972361464597e-08,0
12,0.15,0.0966404208291763,0.00286724970619917,4.58302347754379e-05,7.08118138687645e-07,2.66056503556682e-08,1.6626318199472e-08,1.64852451996996e-08,1.64787559446957e-08,1.64775308099272e-08,1.64726463668051e-08,1.64643225858934e-08,1.64511992572732e-08,1.64318766255745e-08,1.64054877118918e-08,1.63719787220754e-08,1.63317785013049e-08,1.62852198980528e-08,1.62322776078631e-08,1.6172604331752e-08,1.61056406283014e-08,1.60306915959049e-08,1.59469649739482e-08,1.58535791738607e-08,1.57495370893626e-08,1.56340124718677e-08,1.55056741392071e-08,1.53634053457461e-08,1.52059422900041e-08,1.50319329931474e-08,1.48399484990028e-08,1.46284907342399e-08,1.43957653459558e-08,1.41373054706161e-08,1.38309457251871e-08,1.34189762070599e-08,1.29324287317361e-08,1.26860050856487e-08,1.26188752001831e-08,1.26021999490923e-08,1.25984826163301e-08,0
13,0.15,0.107101344691979,0.00405436810229471,6.50195105246386e-05,1.00227035263851e-06,3.1112899657391e-08,1.67330822602973e-08,1.65268542531022e-08,1.65222836518232e-08,1.65226681806398e-08,1.65205816541152e-08,1.65158949412524e-08,1.65074887837192e-08,1.64941596764299e-08,1.6475109909302e-08,1.64502366413096e-08,1.64198936217801e-08,1.63843850572015e-08,1.63437158215457e-08,1.62976136844484e-08,1.62456230694988e-08,1.61871719018894e-08,1.61216050814928e-08,1.60481966042065e-08,1.59661512753197e-08,1.58746013664179e-08,1.57725390474356e-08,1.5659185222107e-08,1.55332057052619e-08,1.53934950904067e-08,1.52388090457106e-08,1.50678212566036e-08,1.48791123272844e-08,1.4671139391039e-08,1.44421897657827e-08,1.41888265319289e-08,1.38943803298885e-08,1.35049127199908e-08,1.30134666225484e-08,1.27127985792505e-08,1.26242194162655e-08,0
14,0.15,0.114181615979619,0.00577463908017359,9.31642920540423e-05,1.43160528846026e-06,3.7647155734202e-08,1.68590061525614e-08,1.65572475318992e-08,1.65533981657947e-08,1.65551284393823e-08,1.65552787283024e-08,1.65534986406302e-08,1.65488671953561e-08,1.65403411814092e-08,1.6527180516256e-08,1.6509243697008e-08,1.64868251715099e-08,1.64602087622075e-08,1.64294272760499e-08,1.6394273184278e-08,1.63543796488771e-08,1.63092794151895e-08,1.62584342352336e-08,1.62012458295723e-08,1.61370566642322e-08,1.60651488522121e-08,1.59847388010354e-08,1.58949723592601e-08,1.57948508903875e-08,1.56836111362144e-08,1.55599398238405e-08,1.54227471290749e-08,1.52708035424091e-08,1.51027474296855e-08,1.49171566390737e-08,1.47125485604185e-08,1.44873129508122e-08,1.42387410964995e-08,1.39544970682626e-08,1.35858498584882e-08,1.30512035904979e-08,3.62142327856917e-10
15,0.15,0.119470799894321,0.00804749805527434,0.000132009996519658,2.03193053908089e-06,4.68544662698444e-08,1.70184480099575e-08,1.6580295487088e-08,1.65756204262309e-08,1.65786275073828e-08,1.65805712160712e-08,1.65811088891787e-08,1.65794921693969e-08,1.65748081932934e-08,1.65663643992298e-08,1.65539882293284e-08,1.65379266760836e-08,1.65184488124729e-08,1.64956123277727e-08,1.64692644213403e-08,1.64391127093652e-08,1.64047782520543e-08,1.63658217222999e-08,1.63217531446542e-08,1.62720325280302e-08,1.62160683806576e-08,1.61532132662097e-08,1.60827608306808e-08,1.60039392703668e-08,1.59159074234462e-08,1.58176775624247e-08,1.57085085795934e-08,1.55871069307752e-08,1.54523492529004e-08,1.53030072789655e-08,1.51377696678564e-08,1.4955258350368e-08,1.47540582109692e-08,1.45325848492804e-08,1.4287199416949e-08,1.39646128709345e-08,1.27557354914773e-09
16,0.15,0.123676436154535,0.0109746685900243,0.000184674430169885,2.85795974770997e-06,5.9657965210361e-08,1.72300252444029e-08,1.65995065722786e-08,1.65928267584859e-08,1.6596841450053e-08,1.66002231281728e-08,1.66026083349908e-08,1.66033975095253e-08,1.66017841964996e-08,1.6597114785433e-08,1.65891912851508e-08,1.65782221947827e-08,1.6564465734817e-08,1.65480012587221e-08,1.65287217220513e-08,1.65063965363203e-08,1.64807200844138e-08,1.64513354426637e-08,1.64178433565043e-08,1.63798029144081e-08,1.63367298869026e-08,1.62880929754352e-08,1.62333107223526e-08,1.61717458895331e-08,1.61027025708834e-08,1.6025421906403e-08,1.59390795327042e-08,1.58427121637985e-08,1.57355200266153e-08,1.56162691223182e-08,1.54838390258098e-08,1.53370486177892e-08,1.51746459217255e-08,1.49952672859839e-08,1.47967490724834e-08,1.45447298399384e-08,1.8556791109087e-09
17,0.15,0.127086140229975,0.014695112512736,0.000255486295507097,3.98398854621078e-06,7.72946497022971e-08,1.75155298215378e-08,1.66167211994743e-08,1.66066596739903e-08,1.66114190939811e-08,1.66159597582222e-08,1.66198166543823e-08,1.66225241473761e-08,1.6623363105818e-08,1.66217117476175e-08,1.66173508621843e-08,1.66104572662673e-08,1.66012810391048e-08,1.65899201374251e-08,1.65763054719223e-08,1.65602573308492e-08,1.65415304233395e-08,1.6519835838415e-08,1.64948493819741e-08,1.64662125321942e-08,1.64335309257627e-08,1.63963710353273e-08,1.63542571499725e-08,1.63066667901977e-08,1.62530276756356e-08,1.6192712760453e-08,1.61250419034783e-08,1.60492677353133e-08,1.59645553396132e-08,1.58699774930384e-08,1.5764606965855e-08,1.56474925727474e-08,1.55174012468439e-08,1.53732039673565e-08,1.52131101936301e-08,1.50076636846417e-08,2.3185959717415e-09
18,0.15,0.129854726037492,0.0193576638393593,0.00035007774982779,5.50758499651348e-06,1.01395278429126e-07,1.79026238087282e-08,1.6633145187679e-08,1.66179494447218e-08,1.66232069204551e-08,1.66286940859028e-08,1.66337229970522e-08,1.6637959074203e-08,1.66407555949501e-08,1.66415167594054e-08,1.6640005338859e-08,1.66363716651368e-08,1.66308595743023e-08,1.66235828744905e-08,1.66145038067886e-08,1.66034843127127e-08,1.65903284323575e-08,1.65748029293265e-08,1.65566452891912e-08,1.65355649026348e-08,1.65112416851121e-08,1.64833234175242e-08,1.64514228981019e-08,1.64151141895599e-08,1.63739293451644e-08,1.63273547523852e-08,1.62748306617794e-08,1.62157413232258e-08,1.6149397350484e-08,1.60750514043944e-08,1.59918957590987e-08,1.58990503225885e-08,1.57955617276075e-08,1.56805972676398e-08,1.55524963015967e-08,1.53859146016336e-08,2.69703379332132e-09
19,0.15,0.132092798713553,0.0250938677338559,0.00047560938928771,7.55479328873977e-06,1.34080588502051e-07,1.84270732801081e-08,1.6649882764359e-08,1.66272765279312e-08,1.6632781763637e-08,1.6639064020442e-08,1.66450266156446e-08,1.66504799073918e-08,1.66548383898659e-08,1.66575274673332e-08,1.66582943596015e-08,1.66572668989893e-08,1.66546840171009e-08,1.66506729813149e-08,1.66452218170359e-08,1.66382264242419e-08,1.66295309740953e-08,1.66189475632461e-08,1.66062639987207e-08,1.65912452247215e-08,1.65736321127968e-08,1.65531394006557e-08,1.65294530849971e-08,1.65022273690817e-08,1.64710816156707e-08,1.64355970488089e-08,1.63953166200696e-08,1.63497361227667e-08,1.62982903566021e-08,1.62403622102904e-08,1.61752834160936e-08,1.61023344765612e-08,1.60207381728463e-08,1.59296544301827e-08,1.58278668104242e-08,1.56934956788724e-08,3.00463798322188e-09
20,0.15,0.133893364437738,0.03198971133121,0.000641025735358774,1.02874057948328e-05,1.78103379498436e-07,1.913545332713e-08,1.66680768582821e-08,1.66350784063594e-08,1.66405501690063e-08,1.66475367911228e-08,1.66542449640762e-08,1.66606675970776e-08,1.66662727892031e-08,1.66705032533799e-08,1.66730925804274e-08,1.66741491577989e-08,1.66739079595357e-08,1.66725076844403e-08,1.66699575623582e-08,1.66661811091205e-08,1.66610550303624e-08,1.6654428184291e-08,1.66461292409067e-08,1.66359683454965e-08,1.66237360898779e-08,1.66092019709707e-08,1.6592112040405e-08,1.65721865133594e-08,1.65491169231383e-08,1.65225634130318e-08,1.64921540118253e-08,1.64574788326078e-08,1.641807693209e-08,1.63734429009834e-08,1.63230273461854e-08,1.62662366321787e-08,1.62024287903386e-08,1.61309033101554e-08,1.60509706309563e-08,1.59425193303354e-08,3.25429566668706e-09
21,0.15,0.13533702086263,0.0400867229617564,0.000856870163921322,1.39056472830688e-05,2.3694214081598e-07,2.00873673849154e-08,1.66890070992089e-08,1.66417003708075e-08,1.66468104581728e-08,1.66544660640358e-08,1.66617721055395e-08,1.666896671578e-08,1.66755673732737e-08,1.66810309223042e-08,1.66850788451663e-08,1.66878024260812e-08,1.66894333492176e-08,1.6690120056312e-08,1.66898892284444e-08,1.66886868056747e-08,1.66864158010068e-08,1.66829547879298e-08,1.66781654950488e-08,1.66718946909165e-08,1.66639733296714e-08,1.66542154515126e-08,1.66424160807831e-08,1.66283493943073e-08,1.66117661066929e-08,1.659239127113e-08,1.65699234354174e-08,1.65440307014525e-08,1.65143393882157e-08,1.64804372653344e-08,1.64418754063879e-08,1.63981679928474e-08,1.63487867476445e-08,1.62931559759449e-08,1.62308568649211e-08,1.61439049713265e-08,3.45594783600947e-09
22,0.15,0.136493858788048,0.0493964435005821,0.0011357989372498,1.86585928935873e-05,3.14976483362137e-07,2.13585737578355e-08,1.67141862709429e-08,1.66474119830446e-08,1.66518207876065e-08,1.66601364760886e-08,1.66679243357869e-08,1.66757335371388e-08,1.66831291482165e-08,1.66895796088531e-08,1.66947955187894e-08,1.66988528486093e-08,1.67019804585422e-08,1.67043351440882e-08,1.67059579823333e-08,1.67068131105994e-08,1.67068247734741e-08,1.67058955032523e-08,1.67039136932936e-08,1.67007556849598e-08,1.66962850734505e-08,1.66903519772878e-08,1.66827911642328e-08,1.66734206904718e-08,1.66620395136578e-08,1.6648425736746e-08,1.66323357079969e-08,1.66135016949239e-08,1.65916219214157e-08,1.65663615728325e-08,1.6537355347064e-08,1.65042079486728e-08,1.64664871025263e-08,1.64237226823663e-08,1.63757102194748e-08,1.63062635029041e-08,3.61823856039582e-09
23,0.15,0.137424296866057,0.0597877856519035,0.00150386972972588,2.49805648281432e-05,4.19112747737151e-07,2.30609912696455e-08,1.67456067290262e-08,1.66524059091066e-08,1.66557872442872e-08,1.66647585502209e-08,1.66729377411158e-08,1.66812367124088e-08,1.66892679156103e-08,1.66965094315711e-08,1.67026619899229e-08,1.67077876053001e-08,1.671211262932e-08,1.67158010818076e-08,1.67189059641052e-08,1.67214061881891e-08,1.67232431155136e-08,1.67243385624831e-08,1.67246023838092e-08,1.67239347409501e-08,1.6722225552237e-08,1.67193540652741e-08,1.67151871863953e-08,1.67095785088598e-08,1.67023661385734e-08,1.66933713126372e-08,1.66823974934381e-08,1.66692293430941e-08,1.66536240124511e-08,1.6635310311522e-08,1.66139919973787e-08,1.65893487624254e-08,1.65610283421855e-08,1.65286484769012e-08,1.64921810612321e-08,1.64369311389286e-08,3.74892525242281e-09
24,0.15,0.13817458423121,0.0703895776642765,0.00204866213828288,3.40800882933342e-05,5.65727424100049e-07,2.54248578485455e-08,1.67867868493871e-08,1.66569471824914e-08,1.6658863154165e-08,1.66685324577703e-08,1.66770336002974e-08,1.66857222578569e-08,1.66942613781784e-08,1.67021371063698e-08,1.67090411520446e-08,1.67150225972093e-08,1.67203054851639e-08,1.67250601496819e-08,1.67293495252657e-08,1.67331645349164e-08,1.67364603324987e-08,1.67391742353356e-08,1.67412333414269e-08,1.67425569600598e-08,1.67430561891835e-08,1.67426337346532e-08,1.67411824171008e-08,1.67385845180472e-08,1.67347097969499e-08,1.67294144206939e-08,1.67225400755036e-08,1.67139139943783e-08,1.67033413238648e-08,1.66906028652143e-08,1.66754589319742e-08,1.66576508548476e-08,1.66368924125486e-08,1.66128735348304e-08,1.65857128352227e-08,1.65419440095789e-08,3.85393811108379e-09
25,0.15,0.138773683578551,0.0796848347999643,0.00290540924964956,4.79630134150445e-05,7.82712966144962e-07,2.88433790118061e-08,1.68434381184938e-08,1.66604111784665e-08,1.66618674650378e-08,1.66715665297096e-08,1.6680314901732e-08,1.66893172771727e-08,1.66982644951319e-08,1.6706651183076e-08,1.6714160900752e-08,1.67208305562e-08,1.67268819919434e-08,1.67324911272785e-08,1.67377292324655e-08,1.67425970170436e-08,1.67470607483073e-08,1.67510701927747e-08,1.67545662843073e-08,1.67574836995388e-08,1.67597505470973e-08,1.67612883857653e-08,1.67620108845232e-08,1.67618234252283e-08,1.6760621288757e-08,1.67582888380282e-08,1.67546986586552e-08,1.67497124314798e-08,1.67431742235302e-08,1.67349071110082e-08,1.67247174589651e-08,1.67123969303091e-08,1.66977134167942e-08,1.66804154984667e-08,1.66607435586346e-08,1.66262456652376e-08,3.93823790289381e-09
