Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32
10,25,56.194095806469,31.8834908107245,29.5313390141869,29.4452138306067,29.4260115826872,29.4046371739647,29.3772098378263,29.3402254618335,29.2885552334649,29.2166298123491,29.1214680959168,29.003828895959,28.8651639028897,28.7052083126968,28.5219680324388,28.3123720796993,28.0725889205692,27.7981545708076,27.4838506105205,27.1237818490831,26.7111673363227,26.2400097816252,25.7238387397682,25.2712015555762,25.0624665254248,25.0131122581444,25.0027405680826,25.0005846583718,25.0001501689587,25.0000299051428,25.0000299051428
11,25,58.5461429910738,32.5830296100418,29.6697515220715,29.5610347949547,29.5440713418565,29.5264557632482,29.5041650943229,29.4744221141824,29.433163392493,29.3758320572693,29.2998264912923,29.2056778553136,29.0946646280672,28.9666855962742,28.8202025642597,28.6527920040049,28.4614194808503,28.242549059355,27.9920478475769,27.7052489860091,27.3767156336192,27.0002237408605,26.5688390892178,26.0787602717385,25.5633004812487,25.1749381641492,25.038135060819,25.0078864655823,25.001637553635,25.0003056970928,25.0003056970928
12,25,60.7809218768479,33.3506063525417,29.7927733226847,29.6549068881587,29.6393556200168,29.6247014235276,29.6064860832772,29.5824880302075,29.5494939674031,29.5037559268656,29.4429741914225,29.3674924222103,29.2784472371668,29.17586724977,29.0585756027028,28.9246609492404,28.7717189367755,28.5969464109962,28.3970672717141,28.1683848221961,27.9065959771785,27.6067685029955,27.2632156161889,26.8694310713725,26.4185561559471,25.9119442749261,25.4134614132607,25.1079408203818,25.0229816183071,25.0042959214412,25.0042959214412
13,25,62.8963281699092,34.196636974724,29.9058841065789,29.7314256126836,29.716572083046,29.7042819317777,29.6892215238572,29.6697802159931,29.6433470743809,29.6068194517252,29.5581389031559,29.4974941075372,29.4259160891169,29.343504749946,29.2494022104442,29.1420921952065,29.0196690144035,28.8799090135804,28.7202134054341,28.5376511166364,28.328813497534,28.0897940219236,27.8160912694162,27.5025357383171,27.1431690972307,26.7312041516964,26.2604679007769,25.7429611740517,25.2840670119007,25.05969982332,25.05969982332
14,25,64.8909889889366,35.1288021919069,30.0137335414128,29.794253752576,29.7793123363562,29.7688517189429,29.7563867598903,29.7405434468644,29.7193177219735,29.6901081018405,29.651048291768,29.6021989227235,29.5444860555107,29.4781188877756,29.4024412570843,29.3162675113384,29.2180870322484,29.1061349823489,28.9783511504197,28.8324024529329,28.6655940315488,28.4748265480725,28.2565340463252,28.0066227214079,27.7203765147964,27.392359879594,27.0163374194086,26.5852861712229,26.0945092744228,25.523387456709,25.523387456709
15,25,66.764931647969,36.15131300719,30.1202588473143,29.8462488025604,29.830499044255,29.8214688847576,29.8110437360732,29.7980715608471,29.7809794923344,29.7575841416485,29.7261742874572,29.686703832411,29.6400186382366,29.5863957384879,29.525359717525,29.4559806665027,29.3770612362616,29.2872001813264,29.1847617909431,29.0678931646075,28.9344572521262,28.7819951966856,28.6076795688694,28.4082659223434,28.180018876136,27.9186352067478,27.6191746618215,27.2758723593164,26.8809391346646,26.3649124148563,26.3649124148563
16,25,68.5128913126875,37.2733109394928,30.2289483571404,29.8896338566396,29.8723332852089,29.864412098296,29.8556019158617,29.8449074079148,29.8311003202201,29.8123613765064,29.7869979992113,29.7549823664142,29.7170637284448,29.6735700765154,29.6241703672476,29.5681378106036,29.5045236385554,29.4322149219856,29.3499125569964,29.2561441866669,29.1492144908946,29.027171612831,28.8877722786452,28.7284432473179,28.5462234043886,28.3377027639004,28.0989692367133,27.8254632319218,27.5110472613841,27.0985922552176,27.0985922552176
17,25,70.0938689661183,38.5397841377799,30.3437737368563,29.9262194978119,29.9065710312593,29.8994959910614,29.891963264601,29.8830751221885,29.8718699868981,29.8567948631291,29.836312929853,29.8101955452744,29.77924597516,29.7438037342777,29.703652538589,29.658227222683,29.6067763179755,29.5484156659279,29.4821133299048,29.4066986517622,29.3208265078779,29.2229467557666,29.1112787577208,28.9837804211627,28.8381028985904,28.6715419634363,28.4809969529192,28.2628576541339,28.0123458045549,27.6826576436183,27.6826576436183
18,25,71.4360857105513,40.0231433535687,30.4699455939268,29.9575248137168,29.9346311767854,29.9281834856826,29.9216598081518,29.9142034139793,29.9050615783136,29.8928962080798,29.8762628831257,29.8548717639081,29.8294617856212,29.8004186015943,29.7676172988791,29.7306214470025,29.6888361999568,29.6415590163492,29.5879700503226,29.5271380022742,29.4579954481962,29.3793108694214,29.2896702524148,29.1874522480829,29.0707927302299,28.9375458279237,28.7852522182546,28.6110516010154,28.4112464691375,28.1470487435992,28.1470487435992
19,25,72.5122877272522,41.7470505924192,30.6129740868722,29.9848475811478,29.9576742563181,29.9516592304103,29.9459312120709,29.9396088848698,29.9321027068785,29.92224792406,29.9086768909914,29.891045794748,29.8700400139202,29.8460826412396,29.8191227492718,29.7888261258425,29.7547224761591,29.7162533615825,29.6727675971885,29.6235236475973,29.5676746369771,29.5042418275397,29.4321020308338,29.3499674675028,29.2563581699755,29.1495705440715,29.0276529027797,28.8883380768565,28.728788270666,28.5164803864833,28.5164803864833
20,25,73.3423924678037,43.686998524145,30.7779409457975,30.0093051397085,29.9766262117901,29.9708766087707,29.9657747273417,29.9603499283382,29.954139862633,29.9461194442403,29.9349849795473,29.9203467006034,29.9028420794613,29.8829266527612,29.8606089636666,29.8356362446036,29.8076371505236,29.7761677640269,29.7407107649008,29.7006754853464,29.6553899766342,29.6040762492017,29.5458419255148,29.4796638442778,29.4043667013358,29.3185975332705,29.2208068424817,29.1091969881138,28.9816142400823,28.8104609033287,28.8104609033287
21,25,73.9606590286231,45.8042797943073,30.9696535348675,30.031885876833,29.992325989009,29.9866107954851,29.9820000501733,29.9772853525521,29.972101990116,29.9655377968631,29.9563428810137,29.9440872720102,29.9293671476203,29.9126643458451,29.8940361789121,29.8732948101722,29.8501475371012,29.824241426609,29.7951655644714,29.7624490930918,29.7255590290046,29.6838768311795,29.6366933609052,29.5831955326591,29.5224498225158,29.4533814524158,29.3747598448409,29.2851593639149,29.1829707090976,29.0444890596447,29.0444890596447
22,25,74.4007971514432,48.0606602120313,31.1930341755432,30.0534890033416,30.0051922609485,29.9994938433402,29.995266665912,29.9911133681173,29.9867431917445,29.9813350661342,29.973684942699,29.9633277886464,29.950822666421,29.9366737938521,29.9209784583276,29.9036006422624,29.884310179837,29.8628264565241,29.8388231005629,29.8119247773134,29.7817083102836,29.7476821051715,29.7092828308632,29.6658640982086,29.6166843759846,29.5608897507211,29.4975027244614,29.4253925704136,29.3433833905324,29.2308619178237,29.2308619178237
23,25,74.691774518267,50.4216869640962,31.4539367234251,30.0749459916264,30.0158574498425,30.0100367128543,30.0061078044176,30.0023981164605,29.9986711855436,29.9941804631342,29.9877610497674,29.9789183380529,29.9681739721153,29.9560548963687,29.9426902448566,29.9279854724388,29.9117600252688,29.8937907449593,29.8738186413889,29.8515440329708,29.8266311833304,29.7986892253509,29.7672707136524,29.7318616522814,29.6918729685082,29.6466261237751,29.5953444798574,29.5371310837129,29.4711549300414,29.3792676641243,29.3792676641243
