Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N40,N41,N42
10,0,6.94379984568227e-05,0.000584668427009882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2522266591622e-07,3.44037539173945e-06,7.02114853213543e-05,0.0011303759315842,0.0132223656447417,0.0973435868155915,0.385145140606899,0.788847173917955,0.944109452060856,0.98568927800418,0.996265224015248,0.998912285164957,0.999571918000743,0.999736110036151,0.999776905523052,0.999787394107468,0.999787406704643
11,0,0,2.22798470238539e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93741267861987e-08,1.90922046834393e-06,4.06084697939824e-05,0.000686762774746198,0.00860695428647375,0.0701201538778573,0.311676499570071,0.730083637642861,0.927997068818269,0.981567290995193,0.995231726771741,0.998654872041617,0.999507067926722,0.999726487249579,0.999726499846815
12,0,0,3.77018549369001e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29893892453682e-09,3.17999749685159e-08,3.31405540787699e-08,3.31279178533705e-08,3.555456395965e-08,3.19247773772346e-08,2.04317571750323e-08,0,2.84276085629134e-08,1.0611365995513e-06,2.35488739315053e-05,0.000416926900212405,0.0055661075704444,0.049730584251497,0.248616508581414,0.661345501053458,0.907808305239407,0.976341062331097,0.993904163466235,0.998458887153253,0.998458899751735
13,0,0,5.75827848896537e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36409885057678e-08,3.33458693534698e-08,1.97392716920502e-08,5.55434883340249e-09,1.01708031418765e-08,3.21903862419475e-08,7.71914947859273e-08,1.02456270467677e-07,1.21487569670897e-07,1.64881125752636e-07,7.78637747213696e-07,1.38711427001364e-05,0.000252384027437584,0.00356837649855824,0.0346966374544025,0.194929287199227,0.584963453586465,0.882438001972609,0.972406351784552,0.972406364408771
14,0,8.16396306779765e-07,8.41452135919019e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36354867365811e-08,5.53429448139571e-08,1.17368852273876e-07,1.35732828725517e-07,1.34873045319097e-07,1.20649458563931e-07,8.21303372906958e-08,4.54645368093513e-08,3.14035053516903e-08,4.05843655348903e-08,3.67234368037267e-07,7.89350307249162e-06,0.000150928779420497,0.0022553758941609,0.0237758957577431,0.151589029709273,0.555579839552579,0.55557985224164
15,0,2.92529683743048e-06,0.000120017877893508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77171852136604e-09,2.28887056599038e-07,5.47169959265947e-06,0.000116993582727804,0.00204949202112778,0.0267251928724535,0.0267252055614928
16,0,3.95314320011941e-06,0.000168688926540317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99376614796432e-09,0,0,0,0,0,0,0,0,0,1.15784455687513e-07,3.12429449120627e-06,5.54102171897531e-05,5.54229062404521e-05
17,0,4.6614591708849e-06,0.000234830987402734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78252759616993e-09,0,5.48550608270304e-08,7.70578948428025e-08,1.90147044443201e-07,3.17869219834677e-07,3.35792889938347e-07,3.48147690454326e-07,3.13115644856587e-07,2.21731521587998e-07,1.28253360154318e-07,7.99334564094423e-08,8.4265913657602e-08,9.6954981343102e-08
18,0,5.44221551723734e-06,0.000325206089215713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05347376377907e-08,0,0,0,0,4.70296429577743e-08,8.86584160531001e-08,1.25547246854734e-07,1.38236127689699e-07
19,0,6.59986072126806e-06,0.000451834369551984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51549872943136e-08,0,9.17667480893058e-08,1.17679477384947e-07,0,0,0,1.38338231203683e-07,1.04257160904453e-07,0,0,2.40740352097646e-08,3.67628929520691e-08
20,0,8.4915040993172e-06,0.0006355036268898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52192877692181e-09,0,0,0,1.43480824998932e-08,1.34364361858985e-08,2.61246597688114e-08
21,0,1.17380464147443e-05,0.000913931308088922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.02083062797954e-08,1.32531242202916e-07,2.9191471240253e-08,0,0
22,0,1.69265998857249e-05,0.00129922005407201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06037669942583e-09
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,2.98860032894588e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,4.28739220701413e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,2.1778893910529e-08,1.1434708769853e-06,6.14611127743858e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,6.4892977214015e-08,2.89568023503772e-06,8.6987673164618e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,9.14329760792754e-08,3.75466591928664e-06,0.000121750839693568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,1.05298531338782e-07,4.30638178205989e-06,0.000168856545127327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,1.02809863178344e-07,4.87690865069723e-06,0.000233050828091774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,6.37532070468794e-08,5.66245002742161e-06,0.000320915653763687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,6.84459871336252e-06,0.000444081874872215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,8.66611610317314e-06,0.000624966779809721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,1.13639965040324e-05,0.000896457732463829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,1.4156436850099e-05,0.00122715286776831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,3.64054953627679e-07,4.92543283936442e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,8.58530503355937e-08,0,0,2.88887460062615e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,1.47468989242228e-08,0,0,4.16390579444093e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,1.51005963289208e-08,1.77193160089129e-06,5.94720393106707e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,1.99124658983862e-08,2.42204450517924e-06,8.40256088429081e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
