Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N40,N41,N42
10,0.85,0.930526782820127,0.997802584115166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999996148165,0.999999859788686,0.999996544179196,0.999929760182375,0.998869387901906,0.986775024675027,0.902637284478445,0.614779206295168,0.210997325602268,0.0557036347649209,0.0141149382273238,0.00353638416863554,0.000888424534709172,0.000228410632749067,6.40307121624453e-05,2.31400757312717e-05,1.25946181369109e-05,1.25946181369109e-05
11,0.85,0.917109672207754,0.997839879347334,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999998578796,0.999999925614744,0.999998075593075,0.999959368952843,0.999313087934709,0.991391340350011,0.929866050674161,0.688262212871401,0.269772492905723,0.0718192956254819,0.0182378605323244,0.00457020774513061,0.00114598913802321,0.000293361876385716,7.36823373308921e-05,7.36823373308921e-05
12,0.85,0.903381488941746,0.997095048438864,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999979667821,0.999999952246932,0.999999951005867,0.999999951122545,0.999999948811424,0.999999952569548,0.999999964204837,0.999999985231508,0.999999956535316,0.999998923804939,0.999976431852029,0.999582976700824,0.99443278359778,0.95025961968963,0.751334558195514,0.338524189434344,0.0920121239118857,0.0234652138769727,0.00589817724352884,0.0013420317920189,0.0013420317920189
13,0.85,0.892903314155478,0.995888049112816,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999970231682,0.99999995059705,0.999999964289118,0.999999978568047,0.999999974053824,0.999999952141389,0.999999907241893,0.999999882150234,0.999999863273621,0.999999820051053,0.999999206360246,0.999986111487891,0.999747551892224,0.996430907018166,0.965296518782899,0.805032315909943,0.414921258478727,0.117387567643486,0.027400645142259,0.027400645142259
14,0.85,0.885817567624074,0.994141215706234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999540513,0.999999999490758,0.999999989810361,0.999999970224019,0.999999928577529,0.999999866617739,0.999999848336411,0.99999984929914,0.99999986364066,0.999999902291664,0.999999939094757,0.999999953325691,0.999999944312887,0.999999617777501,0.99999209023101,0.999849027015413,0.997744165712917,0.976219407395308,0.848381085399773,0.444310494228789,0.444310494228789
15,0.85,0.880526274808841,0.991832484066832,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999996431756,0.999999982090512,0.99999975610812,0.999994512461453,0.99988296880367,0.997950089478613,0.973269521946128,0.973269521946128
16,0.85,0.876319610702265,0.988856642483435,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999973834488,0.999999986339968,0.999999991116607,1,1,1,1,1,0.999999994286247,0.999999995336551,0.999999869188493,0.99999686028337,0.99994456428747,0.99994456428747
17,0.85,0.872909198310854,0.985070056499861,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999978910806,1,0.999999928952226,0.999999906817063,0.999999793803688,0.999999666166225,0.999999648337133,0.999999636087703,0.999999671236863,0.999999762751077,0.999999856373436,0.999999904853433,0.999999900715916,0.999999900715916
18,0.85,0.87013983174699,0.980317130071425,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999973315865,1,1,0.99999999234739,1,0.99999993728976,0.999999895789088,0.999999859066832,0.999999859066832
19,0.85,0.867900601425726,0.974454297896592,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999918373931,1,0.999999891837935,0.999999865970786,1,1,1,0.999999845559434,0.999999879722101,1,1,0.999999960232469,0.999999960232469
