Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22
19,0.05,0.00485454071456421,5.15361042463809e-05,3.5965838432395e-07,1.51381050807895e-08,1.25730424487737e-08,1.24049677968926e-08,1.24206801871125e-08,1.24163815615013e-08,1.24163783418928e-08,1.24164586864662e-08,1.24165584705267e-08,1.24166710334998e-08,1.24167918653908e-08,1.24169194577726e-08,1.24170529927988e-08,1.2417191780831e-08,1.2417335183154e-08,1.24174825907369e-08,1.24176334488486e-08,1.24177886364212e-08,2.15931072574381e-07
20,0.05,0.00523548911970114,5.74569673729925e-05,4.07388620677734e-07,1.55155980815133e-08,1.2592936486307e-08,1.23447559293897e-08,1.24210325739134e-08,1.2416397370908e-08,1.24163811005293e-08,1.24164598697427e-08,1.24165587467826e-08,1.24166710950445e-08,1.24167918771995e-08,1.24169194510675e-08,1.2417052974366e-08,1.24171917518455e-08,1.24173351434155e-08,1.24174825415441e-08,1.24176333898169e-08,1.24177886027727e-08,2.15931072540672e-07
21,0.05,0.00564513888257154,6.39346271464294e-05,4.61210976136415e-07,1.59423372048375e-08,1.2615443018332e-08,1.21805281287208e-08,1.24207616837661e-08,1.24164102466663e-08,1.241638495543e-08,1.24164611997601e-08,1.24165590613854e-08,1.24166711675816e-08,1.24167918937873e-08,1.24169194477784e-08,1.2417052958488e-08,1.24171917247551e-08,1.24173351054817e-08,1.24174824935434e-08,1.24176333313905e-08,1.24177885693438e-08,2.15931072507455e-07
22,0.05,0.00608568726538922,7.10146570305446e-05,5.21856020211934e-07,1.64239967752027e-08,1.26414053029356e-08,1.17429435509049e-08,1.24185513575028e-08,1.24164522527579e-08,1.24163921532368e-08,1.24164626539943e-08,1.2416559409529e-08,1.2416671247188e-08,1.24167919110449e-08,1.24169194443008e-08,1.24170529424692e-08,1.24171916970454e-08,1.24173350675288e-08,1.24174824451854e-08,1.24176332727871e-08,1.24177885358471e-08,2.15931072474265e-07
23,0.05,0.00655947146626067,7.87499769690051e-05,5.90133618779947e-07,1.69667751448515e-08,1.26728971496964e-08,1.0588206305865e-08,1.24111494516458e-08,1.24168890393001e-08,1.2416407821779e-08,1.2416463766241e-08,1.24165597811427e-08,1.2416671332421e-08,1.24167919266096e-08,1.24169194379168e-08,1.24170529237588e-08,1.24171916673479e-08,1.24173350277796e-08,1.24174823956263e-08,1.24176332135038e-08,1.24177885021052e-08,2.15931072440671e-07
24,0.05,0.00706907105636104,8.7200637634681e-05,6.66935769702779e-07,1.75775218498194e-08,1.27129065874443e-08,7.5545001197692e-09,1.2389954878608e-08,1.24189790214483e-08,1.24164378330964e-08,1.24164627712276e-08,1.24165601538324e-08,1.24166714231979e-08,1.24167919377748e-08,1.24169194262034e-08,1.24170529001236e-08,1.24171916337579e-08,1.24173349846656e-08,1.24174823439683e-08,1.24176331528776e-08,1.24177884679159e-08,2.15931072406622e-07
25,0.05,0.007617779061486,9.64406146633849e-05,7.5328621026728e-07,1.82641783407732e-08,1.27290861626188e-08,1.54034101294812e-08,1.24450040835346e-08,1.2418418003142e-08,1.24163703214941e-08,1.24164646981107e-08,1.24165607108977e-08,1.24166715106975e-08,1.24167919401305e-08,1.24169194057706e-08,1.24170528689831e-08,1.24171915935674e-08,1.24173349368258e-08,1.24174822886186e-08,1.24176330900776e-08,1.24177884329862e-08,2.15931072371737e-07
26,0.05,0.00820863385391527,0.000106544175395344,8.50272928983421e-07,1.90351086475746e-08,1.27642991283031e-08,1.24843185859446e-08,1.24250665550061e-08,1.24177913870956e-08,1.24175763316356e-08,1.24164029382083e-08,1.24165397156383e-08,1.24166628614297e-08,1.24167918955854e-08,1.24169193818617e-08,1.24170528255832e-08,1.24171915446915e-08,1.24173348818024e-08,1.24174822281404e-08,1.24176330241614e-08,1.24177883970011e-08,2.15931072335624e-07
27,0.05,0.00884650731114811,0.000117614751116065,9.59170865771673e-07,1.99001091047787e-08,1.28010326233679e-08,1.24893779200813e-08,1.24254241730725e-08,1.24190316495288e-08,1.24162123309515e-08,1.24165364685446e-08,1.24163042443908e-08,1.24166390840675e-08,1.24167918758856e-08,1.2416919299507e-08,1.2417052760541e-08,1.24171914773491e-08,1.24173348133615e-08,1.24174821575913e-08,1.24176329522035e-08,1.24177883589888e-08,2.15931072300407e-07
28,0.05,0.00953893192727926,0.000129790224554669,1.08135233184518e-06,2.08691546491071e-08,1.28416546524156e-08,1.2497263739257e-08,1.24282576557107e-08,1.24191236041971e-08,1.24164874852665e-08,1.24164690377243e-08,1.2416555047981e-08,1.24166733475265e-08,1.24167917893253e-08,1.24169191993323e-08,1.24170526423454e-08,1.24171913670364e-08,1.24173347098503e-08,1.2417482062897e-08,1.24176328656519e-08,1.24177883160772e-08,2.15931072256563e-07
29,0.05,0.0103043416192123,0.00014332578710958,1.2181669470049e-06,2.19498786091938e-08,1.28848722604136e-08,1.25056985746932e-08,1.2429953832604e-08,1.24197289594088e-08,1.24163384598802e-08,1.24165314206145e-08,1.24165363846694e-08,1.24166643890944e-08,1.241679137803e-08,1.24169188661165e-08,1.24170523373306e-08,1.24171911028757e-08,1.24173344874268e-08,1.2417481882687e-08,1.24176327276715e-08,1.24177882559468e-08,2.15931072196991e-07
30,0.05,0.0112117779792654,0.00015901141437087,1.3702935658128e-06,2.31331648896394e-08,1.29288703113997e-08,1.25145372010267e-08,1.24319399551259e-08,1.24201477044328e-08,1.2416339437612e-08,1.24165313186547e-08,1.24165353264836e-08,1.24166628870201e-08,1.24167899775165e-08,1.24169176212246e-08,1.24170512666755e-08,1.24171902119621e-08,1.24173337770575e-08,1.24174813534914e-08,1.24176323796385e-08,1.24177881254937e-08,2.15931072067472e-07
31,0.05,0.0123316487915098,0.000178634468594009,1.5482188685017e-06,2.44611730567427e-08,1.2972253264329e-08,1.25234109525605e-08,1.24339995264803e-08,1.24204846491802e-08,1.24163414191945e-08,1.24165320235996e-08,1.24165353143891e-08,1.24166622417884e-08,1.24167892780353e-08,1.2416916980202e-08,1.24170507066739e-08,1.24171897389039e-08,1.24173333918343e-08,1.24174810567878e-08,1.2417632171455e-08,1.24177880418102e-08,2.1593107198268e-07
32,0.05,0.0134103581889256,0.000199662078052227,1.75752235067707e-06,2.60455910934825e-08,1.3023960011231e-08,1.25334839997231e-08,1.2436280886694e-08,1.24210001255032e-08,1.24163475259017e-08,1.2416536310417e-08,1.24165387400568e-08,1.24166646361857e-08,1.2416791248771e-08,1.24169186514661e-08,1.24170521035135e-08,1.24171908676827e-08,1.24173342534528e-08,1.24174816518955e-08,1.24176325000161e-08,1.24177881377782e-08,2.15931072079346e-07
33,0.05,0.0144269260807633,0.000220626472311295,1.98494829285366e-06,2.78195795131714e-08,1.30819477230282e-08,1.25447124128707e-08,1.24388160725213e-08,1.24214815819795e-08,1.24163515588827e-08,1.24165391658712e-08,1.24165409506322e-08,1.24166658861125e-08,1.2416792192447e-08,1.24169194288336e-08,1.24170527429976e-08,1.2417191376398e-08,1.24173346324298e-08,1.24174819018259e-08,1.24176326208977e-08,1.24177881642554e-08,2.15931072105962e-07
34,0.05,0.0154536420424657,0.000242541993653345,2.23483626283289e-06,2.97999818251986e-08,1.31448798044882e-08,1.25568794998193e-08,1.24415766055526e-08,1.2421986497314e-08,1.24163536582819e-08,1.24165412190258e-08,1.24165425303528e-08,1.24166665146981e-08,1.24167925695178e-08,1.24169197110559e-08,1.24170529625637e-08,1.24171915412279e-08,1.24173347437122e-08,1.24174819602853e-08,1.24176326265656e-08,1.24177881521729e-08,2.15931072093904e-07
