Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22
15,0.05,0.0457583067739253,0.0204666085564634,0.00438975965922258,0.000864683723081049,0.000164101401668589,3.07918971577719e-05,5.98649903204245e-06,1.44610947104552e-06,6.26360369956696e-07,4.80124982605631e-07,4.54314703338362e-07,4.49803544422021e-07,4.49021006906226e-07,4.48898924486323e-07,4.48857545643734e-07,4.48854114337703e-07,4.48857372116877e-07,4.48858614337159e-07,4.48858183767681e-07,4.48862733962703e-07,4.48862733962728e-07
16,0.05,0.0465260915794265,0.0220654544678951,0.00484049563909457,0.000967392282194482,0.000185718678219196,3.51720115321369e-05,6.85091177773938e-06,1.61311796198043e-06,6.58049976876596e-07,4.86044509763604e-07,4.55405292403784e-07,4.50002002492418e-07,4.4905689402446e-07,4.48902862226417e-07,4.48860832816046e-07,4.48854687904301e-07,4.48857240996522e-07,4.48858556242021e-07,4.48858166783056e-07,4.48862687522391e-07,4.48862687522416e-07
17,0.05,0.0472692247725414,0.0236818643616199,0.00532957392033654,0.00107978559871684,0.000209543938555214,4.00358996083938e-05,7.81844540745269e-06,1.80158271849538e-06,6.9410648996991e-07,4.92835182128969e-07,4.56666565688662e-07,4.50233270322443e-07,4.4909963103081e-07,4.48904214097669e-07,4.48866033630613e-07,4.48856560618369e-07,4.48857396386315e-07,4.48858509968722e-07,4.48858141550544e-07,4.48862639137023e-07,4.48862639137047e-07
18,0.05,0.0479850837534952,0.0252920269783477,0.00586675950032237,0.00120373651972186,0.00023592947561641,4.54513352046153e-05,8.9025095147161e-06,2.01421600103921e-06,7.35083919053412e-07,5.00610204512862e-07,4.58121502582938e-07,4.50502104236714e-07,4.49149070313017e-07,4.48911376676053e-07,4.48869130604986e-07,4.48857028281854e-07,4.48857327596155e-07,4.48858467686052e-07,4.48858123727722e-07,4.48862592022539e-07,4.48862592022564e-07
19,0.05,0.048670818582208,0.0268720243040202,0.00646079148624023,0.00134109405223613,0.00026524464940541,5.14921153806858e-05,1.01179761717762e-05,2.25405034805302e-06,7.81603530055902e-07,5.09496638001718e-07,4.59795917775656e-07,4.50813734733537e-07,4.49206269459321e-07,4.4892232471806e-07,4.48871979057862e-07,4.48856654395504e-07,4.48856908961137e-07,4.488583724315e-07,4.48858107022129e-07,4.48862548406095e-07,4.4886254840612e-07
20,0.05,0.0493231819067898,0.0284028220764764,0.0071172091118028,0.00149335485921194,0.000297827884363372,5.82315015448426e-05,1.14802753403776e-05,2.52432254660397e-06,8.34340629189463e-07,5.1963427076283e-07,4.61718478595876e-07,4.51173868444984e-07,4.49273090389285e-07,4.48933719409732e-07,4.48875777028477e-07,4.48856749424373e-07,4.48856614454855e-07,4.48858271674069e-07,4.48858083965867e-07,4.488625044715e-07,4.48862504471525e-07
21,0.05,0.0499394795846523,0.0298739700968731,0.00783715536678811,0.00166142898159137,0.000333948356710737,6.57371582939897e-05,1.30046328130544e-05,2.82836313742861e-06,8.94009318154926e-07,5.31173678602914e-07,4.63920457099626e-07,4.51588925141943e-07,4.49350583441756e-07,4.48947395173911e-07,4.48879943165199e-07,4.48856851983656e-07,4.48856208148628e-07,4.48858149133808e-07,4.48858058551779e-07,4.48862461091327e-07,4.48862461091352e-07
22,0.05,0.0505184954284708,0.0312833342621547,0.0086184765041658,0.00184572303407337,0.000373808345292467,7.40725374313997e-05,1.4706148205008e-05,3.16959959034815e-06,9.61363435665093e-07,5.44276743830497e-07,4.66435927780068e-07,4.52065993715854e-07,4.49440010039257e-07,4.48964164999994e-07,4.48884566531523e-07,4.48856731516117e-07,4.48855559123985e-07,4.48857967900347e-07,4.48858027202573e-07,4.48862419828639e-07,4.48862419828663e-07
23,0.05,0.0510612939294776,0.0326336109023676,0.00945732299053146,0.00204635679488353,0.000417570453493339,8.33058023606423e-05,1.66009491259685e-05,3.55169550094648e-06,1.03721499211743e-06,5.59119236123979e-07,4.69302184013585e-07,4.52612818729258e-07,4.49543184800522e-07,4.48983188479527e-07,4.48889964676967e-07,4.48856869526026e-07,4.48854898557747e-07,4.48857750923813e-07,4.48857986227031e-07,4.48862378884907e-07,4.48862378884932e-07
24,0.05,0.0515720728983129,0.0339293625736634,0.0103491185533193,0.00226329676435793,0.000465374273460876,9.35270279434138e-05,1.87085987931166e-05,3.97887458474126e-06,1.12248060006135e-06,5.75897624611781e-07,4.72560765487281e-07,4.53238046377293e-07,4.4966191111398e-07,4.4900491000971e-07,4.48896122888984e-07,4.4885733339206e-07,4.48854170155221e-07,4.48857493622603e-07,4.48857936326105e-07,4.48862338178586e-07,4.48862338178611e-07
25,0.05,0.0520592528008953,0.0351757825481601,0.0112890698665797,0.00249642789969387,0.000517390087543014,0.000104436388852873,2.10075686187202e-05,4.45137198826158e-06,1.21771798636664e-06,5.94783541785884e-07,4.76253190067535e-07,4.53950875217915e-07,4.4979798520181e-07,4.49030417644791e-07,4.4890236733432e-07,4.48858201214644e-07,4.4885350264322e-07,4.4885720059288e-07,4.48857874109049e-07,4.48862297261792e-07,4.48862297261817e-07
26,0.05,0.0525395672283254,0.0363785833221579,0.0122712879163152,0.00274546783133044,0.000573698578130379,0.000116601238995873,2.35471996322208e-05,4.97338188459343e-06,1.32346373678163e-06,6.15894993175254e-07,4.8040934175685e-07,4.54758586839054e-07,4.49953086245937e-07,4.49060282639031e-07,4.48903914936201e-07,4.48862082591044e-07,4.48854644323131e-07,4.48857200122658e-07,4.48857815478293e-07,4.48862243966162e-07,4.48862243966187e-07
