Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22
13,0.05,0.00303817332532572,2.55921900383565e-05,1.65943361997936e-07,1.34275921605835e-08,1.24540863628062e-08,1.24222008862847e-08,1.24171875519099e-08,1.24164443257382e-08,1.24163806973073e-08,1.24164516791863e-08,1.24165537158549e-08,1.24166676795435e-08,1.24167896468517e-08,1.24169183604549e-08,1.24170530375908e-08,1.24171929975408e-08,1.2417337598239e-08,1.24174862447757e-08,1.24176384647971e-08,1.24177952055308e-08,4.75815003256404e-07
14,0.05,0.00328235448054688,2.8805368409877e-05,1.88479756080864e-07,1.35835289482402e-08,1.2459596780345e-08,1.24231706657862e-08,1.24173517576749e-08,1.24164775701948e-08,1.24163869797098e-08,1.24164528182389e-08,1.24165539049949e-08,1.24166676909452e-08,1.24167896208916e-08,1.24169183234196e-08,1.24170529928363e-08,1.24171929468162e-08,1.24173375462078e-08,1.24174861955137e-08,1.24176383822669e-08,1.24177951689796e-08,4.75815003267037e-07
15,0.05,0.00354440273246322,3.2372809906101e-05,2.13939474035993e-07,1.37598419472579e-08,1.2465681027128e-08,1.24242490558111e-08,1.24175342790968e-08,1.24165151824034e-08,1.24163941701357e-08,1.24164541341334e-08,1.24165541266304e-08,1.24166677070055e-08,1.24167895944283e-08,1.24169182849698e-08,1.2417052946838e-08,1.24171928948545e-08,1.24173374906998e-08,1.24174861352457e-08,1.2417638311861e-08,1.24177951324153e-08,4.75815003230847e-07
16,0.05,0.00382584164551959,3.63287074387655e-05,2.42704431542897e-07,1.39593388685954e-08,1.2472408457779e-08,1.24254478735212e-08,1.24177371264199e-08,1.24165576409015e-08,1.241640238152e-08,1.24164556550188e-08,1.24165543906584e-08,1.24166677334473e-08,1.24167895720638e-08,1.24169182480788e-08,1.24170529033697e-08,1.24171928447282e-08,1.24173374357945e-08,1.24174860784066e-08,1.24176382400788e-08,1.24177950959979e-08,4.75815003184321e-07
17,0.05,0.0041282572235324,4.07058083945865e-05,2.75196985884453e-07,1.41852382115135e-08,1.24798667867491e-08,1.24267814330686e-08,1.24179629877341e-08,1.24166054975354e-08,1.24164117404913e-08,1.24164574116213e-08,1.24165547073152e-08,1.24166677758249e-08,1.24167895580405e-08,1.24169182156526e-08,1.24170528652384e-08,1.24171927990426e-08,1.24173373821343e-08,1.24174860192547e-08,1.24176381757581e-08,1.24177950600681e-08,4.75815003143797e-07
18,0.05,0.00445334895422504,4.55329866219422e-05,3.11894811440101e-07,1.44413317469512e-08,1.2488168016357e-08,1.24282673274844e-08,1.24182156817584e-08,1.24166594124657e-08,1.24164223940697e-08,1.24164594389624e-08,1.24165550879176e-08,1.24166678402415e-08,1.24167895566089e-08,1.24169181943207e-08,1.24170528344541e-08,1.24171927593762e-08,1.24173373323354e-08,1.2417485962101e-08,1.24176381162906e-08,1.24177950248876e-08,4.75815003109154e-07
19,0.05,0.00480288302855329,5.0837706035545e-05,3.53317548360376e-07,1.47318050738412e-08,1.24974331002275e-08,1.24299246344856e-08,1.24184999079043e-08,1.24167201256669e-08,1.2416434499198e-08,1.2416461768236e-08,1.24165555375583e-08,1.24166679266878e-08,1.24167895668135e-08,1.24169181832674e-08,1.2417052810566e-08,1.2417192724999e-08,1.24173372880885e-08,1.24174859118867e-08,1.24176380540462e-08,1.24177949903024e-08,4.75815003075591e-07
20,0.05,0.00517870417374535,5.66501456854201e-05,4.00043652847224e-07,1.50612377574678e-08,1.25077764723952e-08,1.24317716916619e-08,1.24188207440571e-08,1.24167884153128e-08,1.2416448224139e-08,1.24164644326878e-08,1.24165560609653e-08,1.24166680341137e-08,1.24167895869862e-08,1.24169181774292e-08,1.24170527925814e-08,1.24171926959342e-08,1.241733724893e-08,1.24174858638163e-08,1.24176379922725e-08,1.2417794956203e-08,4.75815003041733e-07
21,0.05,0.00558281821129183,6.30064883684248e-05,4.52710881612997e-07,1.5434570783691e-08,1.25192971401776e-08,1.24338254527389e-08,1.24191826479568e-08,1.24168650549281e-08,1.24164637433379e-08,1.24164674653978e-08,1.24165566609016e-08,1.24166681594505e-08,1.24167896131674e-08,1.24169181754617e-08,1.24170527770723e-08,1.24171926683428e-08,1.24173372117148e-08,1.24174858129731e-08,1.24176379343728e-08,1.24177949223483e-08,4.75815003008159e-07
22,0.05,0.00601743572063571,6.99514236535896e-05,5.1202907812115e-07,1.58572105659877e-08,1.25320804587344e-08,1.24361021992292e-08,1.24195886432237e-08,1.24169507945132e-08,1.24164812400406e-08,1.24164709018963e-08,1.24165573406802e-08,1.24166682996598e-08,1.2416789641349e-08,1.24169181737684e-08,1.24170527607442e-08,1.24171926399419e-08,1.24173371733017e-08,1.24174857594319e-08,1.24176378790222e-08,1.24177948884423e-08,4.75815002974393e-07
23,0.05,0.00648495835527726,7.75373612335489e-05,5.78788058776512e-07,1.63351633029216e-08,1.25462064776845e-08,1.24386178923166e-08,1.24200410335065e-08,1.24170463768635e-08,1.24165009093435e-08,1.24164747825336e-08,1.241655810617e-08,1.24166684534665e-08,1.24167896691979e-08,1.2416918168864e-08,1.24170527418524e-08,1.24171926095241e-08,1.24173371322738e-08,1.24174857070606e-08,1.24176378213054e-08,1.2417794854248e-08,4.75815002940169e-07
24,0.05,0.00698800947375581,8.58238397660856e-05,6.53861491675096e-07,1.68751366051006e-08,1.25617550328633e-08,1.24413838901767e-08,1.24205463628211e-08,1.24171526143503e-08,1.24165229518064e-08,1.24164791509084e-08,1.24165589641473e-08,1.24166686199143e-08,1.24167896944128e-08,1.24169181588834e-08,1.24170527183766e-08,1.24171925751685e-08,1.24173370878856e-08,1.24174856574749e-08,1.2417637757733e-08,1.24177948195478e-08,4.75815002905717e-07
25,0.05,0.0075295718127835,9.48792666579433e-05,7.38224147490738e-07,1.74846668719434e-08,1.25788083003006e-08,1.24443926804761e-08,1.24211296635557e-08,1.24172706206412e-08,1.24165475511567e-08,1.24164840517381e-08,1.24165599207146e-08,1.24166687968558e-08,1.24167897134205e-08,1.24169181408921e-08,1.24170526869048e-08,1.24171925346191e-08,1.24173370389172e-08,1.24174856068219e-08,1.24176376891894e-08,1.24177947840889e-08,4.75815002870487e-07
26,0.05,0.0081133202001716,0.000104785647198299,8.32985819546327e-07,1.81723506577075e-08,1.25974503192932e-08,1.24476064530912e-08,1.24218453197241e-08,1.2417402051858e-08,1.24165748536406e-08,1.24164895287685e-08,1.24165609796611e-08,1.24166689793393e-08,1.24167897200729e-08,1.24169181089147e-08,1.24170526416088e-08,1.24171924844347e-08,1.24173369829696e-08,1.24174855473056e-08,1.24176376193264e-08,1.24177947474724e-08,4.75815002833646e-07
