Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22
11,0.05,0.0424920487167722,0.0145413902427738,0.00287375964098217,0.000531538179104831,9.58596720457991e-05,1.73036947902555e-05,3.38732310807982e-06,9.55370678223149e-07,5.35295809429747e-07,4.63477482477478e-07,4.51311225103181e-07,4.49267830388193e-07,4.48927905859889e-07,4.48874081379325e-07,4.48857269906143e-07,4.48857183773715e-07,4.48858361865389e-07,4.48858804234129e-07,4.48858605197504e-07,4.488586416678e-07,4.48858641667807e-07
12,0.05,0.0433658768459085,0.0159736111344978,0.0032228834369151,0.000605944432227192,0.000110752153356561,2.0186742568159e-05,3.9321455492629e-06,1.05632912951209e-06,5.53695610613816e-07,4.66782964499729e-07,4.51897576219992e-07,4.49370719601892e-07,4.48945510490625e-07,4.48878997363478e-07,4.48857026907275e-07,4.48856618536871e-07,4.48858223547807e-07,4.48858685097208e-07,4.48858685313247e-07,4.48858661504134e-07,4.48858661504141e-07
13,0.05,0.0442083950599808,0.0174552451089009,0.00359411150860513,0.000686633730703478,0.000127141309095967,2.34010885944564e-05,4.54697986852705e-06,1.17157670410326e-06,5.74931349566032e-07,4.70638365373432e-07,4.52588483271072e-07,4.49493138952877e-07,4.48966666574114e-07,4.4888486445673e-07,4.48856918678791e-07,4.48855885769011e-07,4.48858024659395e-07,4.48858597617052e-07,4.48858728844068e-07,4.48858677397165e-07,4.48858677397172e-07
14,0.05,0.0450243426513143,0.01898360357602,0.00398893864910552,0.000774050100352557,0.000145141179267746,2.69745604823378e-05,5.23835201016787e-06,1.30258721046317e-06,5.9932456065767e-07,4.75111714477954e-07,4.5339795180196e-07,4.49637936455414e-07,4.48991896145608e-07,4.48891640031896e-07,4.48857083019654e-07,4.48855034985053e-07,4.48857760542666e-07,4.48858602417052e-07,4.48858702831659e-07,4.48858672561105e-07,4.48858672561112e-07
15,0.05,0.0458161182419311,0.0205536655949493,0.00441021756932577,0.000868848630476008,0.000164898990166588,3.09404736337017e-05,6.01376679485776e-06,1.45102237035957e-06,6.27234812994755e-07,4.80278959734187e-07,4.54341655850323e-07,4.49808264311467e-07,4.4902193634385e-07,4.48898977743775e-07,4.48857755412806e-07,4.48854217618648e-07,4.48857455669512e-07,4.4885857062903e-07,4.48858695515245e-07,4.48858671591416e-07,4.48858671591423e-07
16,0.05,0.0465840399687704,0.0221556265262574,0.00486304136875868,0.00097204609180283,0.00018661939078684,3.53414190923127e-05,6.88229585732397e-06,1.61882382194682e-06,6.59074439116538e-07,4.86226409862894e-07,4.55437365052509e-07,4.50007656655574e-07,4.4905791689748e-07,4.48903490901624e-07,4.48860768245825e-07,4.4885461031252e-07,4.48857303443112e-07,4.4885851901525e-07,4.48858682796216e-07,4.48858672561759e-07,4.48858672561766e-07
17,0.05,0.0473270468096806,0.0237738543053691,0.00535474847344413,0.00108503934760794,0.000210569336179188,4.02302135587146e-05,7.85473542345889e-06,1.80823565141863e-06,6.95311093209105e-07,4.9305087905821e-07,4.56704899527168e-07,4.50240062376567e-07,4.49100948132935e-07,4.489042263358e-07,4.48866381956746e-07,4.48856641881437e-07,4.48857472112476e-07,4.48858470074507e-07,4.48858665920619e-07,4.4885867166644e-07,4.48858671666447e-07
18,0.05,0.0480425652443402,0.0253847651409652,0.00589505416402053,0.00120968312754757,0.000237097213172062,4.56737907993588e-05,8.94435343070346e-06,2.02194526773926e-06,7.3649430609578e-07,5.00864736849929e-07,4.58167077084039e-07,4.50510217154832e-07,4.49150707681084e-07,4.48911429603356e-07,4.48869322315097e-07,4.48857194030291e-07,4.48857425101105e-07,4.48858417511976e-07,4.48858662149635e-07,4.48858673001313e-07,4.4885867300132e-07
19,0.05,0.0487275364991193,0.0269640142379268,0.00649261227498984,0.00134783345807478,0.000266575552393194,5.17463285010337e-05,1.01661092446825e-05,2.26300262284271e-06,7.83248660152091e-07,5.09795671042965e-07,4.59849825509688e-07,4.50823417644322e-07,4.49207975199902e-07,4.48922885154721e-07,4.48872084969819e-07,4.48856694687993e-07,4.48856967643326e-07,4.48858318749887e-07,4.48858654077073e-07,4.48858675985546e-07,4.48858675985553e-07
20,0.05,0.049378756737766,0.0284929022240841,0.00715281029381681,0.00150096441675517,0.000299340533727767,5.85201663492692e-05,1.15353465409851e-05,2.53463988675174e-06,8.36250118594586e-07,5.19983785426973e-07,4.61781902376258e-07,4.51185317988923e-07,4.49275221352712e-07,4.48934175506062e-07,4.48875976062445e-07,4.4885676942832e-07,4.48856683591437e-07,4.48858223309719e-07,4.4885863612604e-07,4.48858676986812e-07,4.48858676986819e-07
